time,mote_id,node,message_type,message,tx,rx,size
1.999379,,3,energy,,0.044145,0.06264,
1.999379,,5,energy,,0.0,0.013244,
1.999379,,19,energy,,0.0,0.009059,
1.999379,,17,energy,,0.0,0.015291,
1.999379,,14,energy,,0.086071,0.008828,
1.999379,,7,energy,,0.086078,0.013834,
1.999379,,6,energy,,0.0,0.017725,
1.999379,,21,energy,,0.0,0.008827,
1.999379,,16,energy,,0.086076,0.011119,
1.999379,,15,energy,,0.0,0.013244,
1.999379,,11,energy,,0.059597,0.011036,
1.999379,,13,energy,,0.086075,0.011077,
1.999379,,10,energy,,0.0,0.014741,
1.999734,,4,energy,,0.0,0.011035,
1.999839,,12,energy,,0.0,0.015448,
1.999929,,18,energy,,0.004415,0.013241,
2.00011,1,,mac_reception,,,,
2.003561,12,,mac_reception,,,,
2.007907,4,,rpl,,,,
2.012376,4,,mac_reception,,,,
2.015849,21,,rpl,,,,
2.020239,20,,mac_reception,,,,
2.020371,21,,mac_reception,,,,
2.023517,9,,mac_reception,,,,
2.023532,7,,mac_reception,,,,
2.036843,8,,mac_reception,,,,
2.046824,11,,mac_reception,,,,
2.046876,3,,mac_reception,,,,
2.066797,10,,mac_reception,,,,
2.07675,16,,mac_reception,,,,
2.083425,19,,mac_reception,,,,
2.090073,14,,mac_reception,,,,
2.102497,,4,energy,,0.0,0.014746,
2.102497,,1,energy,,0.0,0.520878,
2.102497,,6,energy,,0.0,0.017725,
2.102497,,10,energy,,0.0,0.016947,
2.102497,,2,energy,,0.0,0.015514,
2.102497,,17,energy,,0.0,0.015291,
2.102497,,9,energy,,0.0,0.013298,
2.102497,,15,energy,,0.0,0.013244,
2.102497,,11,energy,,0.059597,0.013243,
2.102497,,8,energy,,0.0,0.013403,
2.102497,,3,energy,,0.044145,0.064847,
2.102497,,19,energy,,0.0,0.011266,
2.102497,,12,energy,,0.0,0.015448,
2.102497,,7,energy,,0.086078,0.016042,
2.102497,,20,energy,,0.0,0.015067,
2.102497,,16,energy,,0.086076,0.013326,
2.102497,,21,energy,,0.0,0.013241,
2.102497,,14,energy,,0.086071,0.011035,
2.102929,,5,energy,,0.0,0.015451,
2.103048,,18,energy,,0.072836,0.013241,
2.103117,,13,energy,,0.086075,0.011077,
2.103389,2,,mac_reception,,,,
2.106678,5,,mac_reception,,,,
2.108167,15,,rpl,,,,
2.112638,15,,mac_reception,,,,
2.113379,13,,mac_reception,,,,
2.116659,6,,mac_reception,,,,
2.126673,17,,mac_reception,,,,
2.141292,1,,mac_reception,,,,
2.144745,20,,mac_reception,,,,
2.148626,9,,rpl,,,,
2.151381,7,,mac_reception,,,,
2.153096,9,,mac_reception,,,,
2.161412,8,,mac_reception,,,,
2.171352,3,,mac_reception,,,,
2.171353,11,,mac_reception,,,,
2.191351,10,,mac_reception,,,,
2.198215,,9,energy,,0.0,0.018768,
2.198215,,6,energy,,0.0,0.022138,
2.198215,,12,energy,,0.0,0.017655,
2.198215,,8,energy,,0.0,0.015611,
2.198215,,10,energy,,0.0,0.019499,
2.198215,,21,energy,,0.0,0.013356,
2.198215,,7,energy,,0.086078,0.020457,
2.198215,,4,energy,,0.0,0.014746,
2.198215,,11,energy,,0.059597,0.015451,
2.198215,,16,energy,,0.086076,0.015534,
2.198215,,5,energy,,0.0,0.015451,
2.198215,,13,energy,,0.086075,0.013283,
2.198215,,3,energy,,0.044145,0.069262,
2.198215,,1,energy,,0.0,0.576057,
2.198215,,2,energy,,0.0,0.015514,
2.198215,,14,energy,,0.086071,0.011035,
2.198215,,17,energy,,0.0,0.017498,
2.198215,,18,energy,,0.086078,0.013241,
2.198215,,20,energy,,0.0,0.019481,
2.199589,,19,energy,,0.0,0.011266,
2.200326,,15,energy,,0.044048,0.017422,
2.201281,16,,mac_reception,,,,
2.207964,19,,mac_reception,,,,
2.214604,14,,mac_reception,,,,
2.217927,18,,mac_reception,,,,
2.227882,2,,mac_reception,,,,
2.231249,5,,mac_reception,,,,
2.237884,13,,mac_reception,,,,
2.241242,6,,mac_reception,,,,
2.251167,17,,mac_reception,,,,
2.254537,12,,mac_reception,,,,
2.257862,4,,mac_reception,,,,
2.267798,21,,mac_reception,,,,
2.299785,1,,mac_reception,,,,
2.300167,,14,energy,,0.086071,0.013241,
2.300167,,18,energy,,0.086078,0.015449,
2.300167,,12,energy,,0.0,0.019862,
2.300167,,11,energy,,0.059597,0.015451,
2.300167,,4,energy,,0.0,0.016954,
2.300167,,16,energy,,0.086076,0.015534,
2.300167,,20,energy,,0.0,0.021688,
2.300167,,5,energy,,0.0,0.017658,
2.300167,,15,energy,,0.086082,0.017422,
2.300167,,1,energy,,0.0,0.626823,
2.300167,,10,energy,,0.0,0.019499,
2.300167,,2,energy,,0.0,0.01787,
2.300167,,21,energy,,0.0,0.017771,
2.300167,,7,energy,,0.086078,0.020457,
2.300167,,8,energy,,0.0,0.015611,
2.300167,,19,energy,,0.0,0.013474,
2.300167,,17,energy,,0.0,0.019705,
2.300167,,3,energy,,0.044145,0.069262,
2.300167,,9,energy,,0.0,0.018768,
2.300167,,13,energy,,0.086075,0.015491,
2.300807,,6,energy,,0.007261,0.024345,
2.316584,10,,mac_reception,,,,
2.326545,16,,mac_reception,,,,
2.333201,19,,mac_reception,,,,
2.339843,14,,mac_reception,,,,
2.343167,18,,mac_reception,,,,
2.353172,2,,mac_reception,,,,
2.356484,5,,mac_reception,,,,
2.35984,15,,mac_reception,,,,
2.363151,13,,mac_reception,,,,
2.376436,17,,mac_reception,,,,
2.379774,12,,mac_reception,,,,
2.383119,4,,mac_reception,,,,
2.389737,21,,mac_reception,,,,
2.393084,20,,mac_reception,,,,
2.399705,7,,mac_reception,,,,
2.399707,9,,mac_reception,,,,
2.402167,,2,energy,,0.0,0.020077,
2.402167,,13,energy,,0.086075,0.017698,
2.402167,,18,energy,,0.086078,0.017656,
2.402167,,4,energy,,0.0,0.019162,
2.402167,,21,energy,,0.0,0.019977,
2.402167,,1,energy,,0.0,0.695242,
2.402167,,17,energy,,0.0,0.021912,
2.402167,,5,energy,,0.0,0.019865,
2.402167,,14,energy,,0.086071,0.015448,
2.402167,,20,energy,,0.0,0.023896,
2.402167,,11,energy,,0.059597,0.015451,
2.402167,,16,energy,,0.086076,0.017741,
2.402167,,10,energy,,0.0,0.022087,
2.402167,,19,energy,,0.0,0.015682,
2.402167,,3,energy,,0.044145,0.069262,
2.402167,,12,energy,,0.0,0.022069,
2.402167,,9,energy,,0.0,0.021019,
2.402167,,15,energy,,0.086082,0.019628,
2.402167,,7,energy,,0.086078,0.022664,
