time,mote_id,node,message_type,message,tx,rx,size
2.402167,,16,energy,,0.086077,0.017718,
2.402167,,1,energy,,0.0,0.69525,
2.402167,,3,energy,,0.044139,0.069207,
2.402167,,15,energy,,0.086082,0.019688,
2.402167,,18,energy,,0.086082,0.017655,
2.402167,,10,energy,,0.0,0.024368,
2.402167,,14,energy,,0.086078,0.015449,
2.402167,,21,energy,,0.0,0.019981,
2.402167,,19,energy,,0.0,0.015683,
2.402167,,9,energy,,0.0,0.021027,
2.402167,,7,energy,,0.086078,0.022661,
2.402167,,20,energy,,0.0,0.023478,
2.402167,,2,energy,,0.0,0.020134,
2.402167,,12,energy,,0.0,0.02207,
2.402167,,4,energy,,0.0,0.021431,
2.402167,,11,energy,,0.059597,0.015449,
2.402167,,5,energy,,0.0,0.01987,
2.402167,,17,energy,,0.0,0.021913,
2.402167,,13,energy,,0.086076,0.017704,
2.403062,,6,energy,,0.075041,0.024357,
2.403235,,8,energy,,0.0,0.015626,
2.412997,8,,mac_reception,,,,
2.419731,3,,mac_reception,,,,
2.423,11,,mac_reception,,,,
2.431376,1,,mac_reception,,,,
2.441474,10,,mac_reception,,,,
2.451478,16,,mac_reception,,,,
2.458075,19,,mac_reception,,,,
2.464779,14,,mac_reception,,,,
2.4681,18,,mac_reception,,,,
2.478091,2,,mac_reception,,,,
2.481406,5,,mac_reception,,,,
2.484726,15,,mac_reception,,,,
2.488057,13,,mac_reception,,,,
2.491393,6,,mac_reception,,,,
2.50382,,7,energy,,0.086078,0.022661,
2.50382,,21,energy,,0.0,0.020254,
2.50382,,2,energy,,0.0,0.022341,
2.50382,,19,energy,,0.0,0.01789,
2.50382,,20,energy,,0.0,0.023478,
2.50382,,5,energy,,0.0,0.022078,
2.50382,,12,energy,,0.0,0.024277,
2.50382,,18,energy,,0.086082,0.019863,
2.50382,,9,energy,,0.0,0.021027,
2.50382,,3,energy,,0.044139,0.071414,
2.50382,,13,energy,,0.086076,0.019911,
2.50382,,6,energy,,0.086076,0.026564,
2.50382,,14,energy,,0.086078,0.017655,
2.50382,,16,energy,,0.086077,0.019926,
2.50382,,1,energy,,0.0,0.759253,
2.50382,,8,energy,,0.0,0.020041,
2.50382,,11,energy,,0.059597,0.017656,
2.50382,,10,energy,,0.0,0.026576,
2.50382,,15,energy,,0.086082,0.021894,
2.5043,,4,energy,,0.0,0.023903,
2.50437,,17,energy,,0.052968,0.021913,
2.504716,12,,mac_reception,,,,
2.508022,4,,mac_reception,,,,
2.518028,21,,mac_reception,,,,
2.518031,20,,mac_reception,,,,
2.524637,9,,mac_reception,,,,
2.524681,7,,mac_reception,,,,
2.537955,8,,mac_reception,,,,
2.544594,3,,mac_reception,,,,
2.547923,11,,mac_reception,,,,
2.583834,1,,mac_reception,,,,
2.590673,14,,mac_reception,,,,
2.593944,18,,mac_reception,,,,
2.600861,,20,energy,,0.0,0.025684,
2.600861,,6,energy,,0.086076,0.026564,
2.600861,,16,energy,,0.086077,0.019926,
2.600861,,5,energy,,0.0,0.022078,
2.600861,,9,energy,,0.0,0.023233,
2.600861,,14,energy,,0.086078,0.019862,
2.600861,,3,energy,,0.044139,0.073621,
2.600861,,13,energy,,0.086076,0.019911,
2.600861,,18,energy,,0.086082,0.022071,
2.600861,,11,energy,,0.059597,0.019863,
2.600861,,17,energy,,0.08607,0.021913,
2.600861,,4,energy,,0.0,0.023903,
2.600861,,21,energy,,0.0,0.024667,
2.600861,,10,energy,,0.0,0.026576,
2.600861,,8,energy,,0.0,0.022247,
2.600861,,19,energy,,0.0,0.01789,
2.600861,,7,energy,,0.086078,0.024867,
2.600861,,1,energy,,0.0,0.807806,
2.600861,,2,energy,,0.0,0.024841,
2.601369,,15,energy,,0.086082,0.021894,
2.602588,,12,energy,,0.017178,0.024277,
2.603958,2,,mac_reception,,,,
2.607242,5,,mac_reception,,,,
2.61059,13,,mac_reception,,,,
2.610602,15,,mac_reception,,,,
2.613938,6,,mac_reception,,,,
2.623891,17,,mac_reception,,,,
2.633899,4,,mac_reception,,,,
2.643917,20,,mac_reception,,,,
2.643992,21,,mac_reception,,,,
2.647229,7,,mac_reception,,,,
2.647243,9,,mac_reception,,,,
2.663881,8,,mac_reception,,,,
2.670522,3,,mac_reception,,,,
2.690473,10,,mac_reception,,,,
2.699566,,18,energy,,0.086082,0.022071,
2.699566,,4,energy,,0.0,0.02611,
2.699566,,16,energy,,0.086077,0.022133,
2.699566,,2,energy,,0.0,0.024841,
2.699566,,20,energy,,0.0,0.027892,
2.699566,,14,energy,,0.086078,0.019862,
2.699566,,6,energy,,0.086076,0.028771,
2.699566,,13,energy,,0.086076,0.022118,
2.699566,,10,energy,,0.0,0.028784,
2.699566,,8,energy,,0.0,0.024455,
2.699566,,7,energy,,0.086078,0.027074,
2.699566,,17,energy,,0.08607,0.024121,
2.699566,,5,energy,,0.0,0.024285,
2.699566,,21,energy,,0.0,0.029125,
2.699566,,15,energy,,0.086082,0.024101,
2.699566,,1,energy,,0.0,0.874021,
2.699566,,9,energy,,0.0,0.02544,
2.699566,,3,energy,,0.044139,0.075828,
2.699566,,11,energy,,0.059597,0.019903,
2.699988,,19,energy,,0.0,0.018085,
2.700115,,12,energy,,0.081666,0.024277,
2.700451,16,,mac_reception,,,,
2.710398,19,,mac_reception,,,,
2.749234,1,,mac_reception,,,,
2.749405,17,,mac_reception,,,,
2.752709,12,,mac_reception,,,,
2.759395,4,,mac_reception,,,,
2.766019,21,,mac_reception,,,,
2.769375,20,,mac_reception,,,,
2.776007,7,,mac_reception,,,,
2.776032,9,,mac_reception,,,,
2.795971,3,,mac_reception,,,,
2.79598,11,,mac_reception,,,,
2.799529,,5,energy,,0.0,0.024285,
2.799529,,1,energy,,0.0,0.918163,
2.799529,,7,energy,,0.086078,0.029281,
2.799529,,20,energy,,0.0,0.030099,
2.799529,,17,energy,,0.08607,0.026328,
2.799529,,10,energy,,0.0,0.028784,
2.799529,,8,energy,,0.0,0.024495,
2.799529,,12,energy,,0.08608,0.026484,
2.799529,,15,energy,,0.086082,0.024101,
2.799529,,3,energy,,0.044139,0.078036,
2.799529,,6,energy,,0.086076,0.028771,
2.799529,,11,energy,,0.059597,0.022111,
2.799529,,16,energy,,0.086077,0.022133,
2.799529,,14,energy,,0.086078,0.019862,
2.799529,,18,energy,,0.086082,0.022071,
2.799529,,13,energy,,0.086076,0.022118,
2.799529,,19,energy,,0.0,0.022499,
2.799529,,21,energy,,0.0,0.031333,
