time,mote_id,message,message_type,source,destination
131.85218,8,H47,data,7,
132.011671,8,H47,data,5,
132.328235,8,H64,data,12,
132.443439,8,H47,data,3,
132.494796,8,H64,data,10,
132.559157,8,H48,data,11,
132.924721,8,H63,data,14,
132.932053,8,H46,data,9,
132.939586,8,H47,data,13,
132.954212,8,H64,data,14,
132.968782,8,H47,data,9,
133.290016,8,H65,data,14,
133.780494,8,H48,data,9,
133.787912,8,H48,data,7,
133.896062,8,H49,data,13,
134.011593,8,H65,data,12,
134.251889,8,H64,data,4,
134.985357,8,H48,data,15,
134.993636,8,H64,data,2,
135.000948,8,H48,data,5,
135.008505,8,H65,data,10,
135.015771,8,H49,data,15,
135.242556,8,H48,data,3,
135.257633,8,H48,data,1,
135.264532,8,H66,data,14,
135.27192,8,H49,data,11,
135.279119,8,H65,data,6,
135.60307,8,H65,data,2,
135.843654,8,H49,data,5,
135.858034,8,H49,data,9,
136.473433,8,H49,data,7,
136.481146,8,H50,data,13,
136.488662,8,H66,data,12,
136.495937,8,H65,data,4,
136.503321,8,H49,data,3,
136.834404,8,H66,data,10,
136.841742,8,H50,data,15,
136.963971,8,H49,data,1,
137.574744,8,H66,data,2,
137.582248,8,H50,data,5,
137.704693,8,H50,data,11,
137.711767,8,H66,data,6,
137.945097,8,H67,data,14,
137.952369,8,H50,data,9,
137.959716,8,H50,data,7,
137.967145,8,H51,data,13,
138.435488,8,H67,data,12,
138.442873,8,H66,data,4,
138.450198,8,H50,data,3,
138.690343,8,H67,data,10,
138.801058,8,H68,data,14,
138.916279,8,H50,data,1,
138.930819,8,H51,data,15,
139.282038,8,H51,data,11,
139.289195,8,H67,data,6,
139.522159,8,H51,data,9,
139.546131,8,H67,data,2,
139.786582,8,H51,data,5,
140.137922,8,H52,data,13,
140.253287,8,H67,data,4,
140.876306,8,H51,data,3,
140.883606,8,H51,data,7,
140.891117,8,H68,data,12,
140.905701,8,H51,data,1,
141.767807,8,H68,data,2,
141.775387,8,H68,data,10,
141.782748,8,H52,data,15,
141.804502,8,H52,data,5,
141.984783,8,H69,data,14,
142.02165,8,H52,data,11,
142.873804,8,H69,data,10,
142.88123,8,H53,data,15,
142.975103,8,H52,data,3,
142.982734,8,H53,data,11,
142.990006,8,H52,data,1,
142.997395,8,H69,data,6,
143.34048,8,H52,data,7,
143.348209,8,H69,data,12,
143.355512,8,H68,data,4,
143.363129,8,H53,data,13,
143.370435,8,H70,data,14,
143.580903,8,H53,data,9,
143.696373,8,H53,data,7,
143.937,8,H54,data,13,
143.989168,8,H69,data,2,
143.996596,8,H53,data,5,
