frame.time_relative,frame.len,wpan.src64,wpan.dst64,icmpv6.type,ipv6.src,ipv6.dst,icmpv6.code,data.data
24.310000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
24.323000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
24.329000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
24.329000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
25.827000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
25.828000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
25.839000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
25.853000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
25.864000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
25.874000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
25.875000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
25.885000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
25.893000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
25.895000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
25.916000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
25.940000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
25.944000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
25.975000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
27.965000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
27.972000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
28.002000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
28.009000000,64,00:00:00:00:00:00:00:05,,155,fe80::200:0:0:5,ff02::1a,0,
28.023000000,64,00:00:00:00:00:00:00:07,,155,fe80::200:0:0:7,ff02::1a,0,
28.031000000,64,00:00:00:00:00:00:00:08,,155,fe80::200:0:0:8,ff02::1a,0,
28.033000000,64,00:00:00:00:00:00:00:0e,,155,fe80::200:0:0:e,ff02::1a,0,
