time,mote_id,node,strobes,message_type,message,tx,rx,size
12.301556,,7,,energy,,0.08608,0.004414,
12.364897,,5,,energy,,0.08608,0.007678,
12.373144,,4,,energy,,0.183957,0.014378,
12.385906,,2,,energy,,0.19198,0.020061,
12.400442,,6,,energy,,0.086078,0.004416,
12.422752,,3,,energy,,0.2634,0.011581,
12.424126,,3,,energy,,0.2634,0.011581,
12.426556,,7,,energy,,0.08608,0.004414,
12.489897,,5,,energy,,0.08608,0.007678,
12.498144,,4,,energy,,0.183957,0.014378,
12.510906,,2,,energy,,0.19198,0.020061,
12.525442,,6,,energy,,0.086078,0.004416,
12.799126,,3,,energy,,0.2634,0.011581,
12.801556,,7,,energy,,0.08608,0.004414,
12.864897,,5,,energy,,0.08608,0.007678,
12.873144,,4,,energy,,0.183957,0.014378,
12.885906,,2,,energy,,0.19198,0.020061,
12.900442,,6,,energy,,0.086078,0.004416,
12.924126,,3,,energy,,0.2634,0.011581,
12.926556,,7,,energy,,0.08608,0.004414,
12.989897,,5,,energy,,0.08608,0.007678,
12.998144,,4,,energy,,0.183957,0.014378,
13.008936,3,3,,udp_sending,         2,,,10
13.010906,,2,,energy,,0.19198,0.020061,
13.025442,,6,,energy,,0.086078,0.004416,
13.049126,,3,,energy,,0.2634,0.011581,
13.051556,,7,,energy,,0.08608,0.004414,
13.114897,,5,,energy,,0.08608,0.007678,
13.138026,,4,,energy,,0.183957,0.014378,
13.138603,,1,,energy,,0.216294,0.192301,
13.13866,,2,,energy,,0.192301,0.02198,
13.142693,1,,,overhearing,,,,
13.14792,3,3,3,mac,,,,32
13.150442,,6,,energy,,0.086078,0.004416,
13.158643,2,2,,forwarding,,,,
13.174126,,3,,energy,,0.271077,0.011902,
13.176556,,7,,energy,,0.08608,0.004414,
13.239897,,5,,energy,,0.08608,0.007678,
13.248144,,4,,energy,,0.183957,0.014378,
13.260906,,2,,energy,,0.192301,0.02198,
13.275442,,6,,energy,,0.086078,0.004416,
13.299126,,3,,energy,,0.271077,0.011902,
13.301556,,7,,energy,,0.08608,0.004414,
13.360255,,3,,energy,,0.271077,0.011902,
13.360863,,1,,energy,,0.216615,0.194508,
13.364897,,5,,energy,,0.08608,0.007678,
13.370166,2,2,0,mac,,,,41
13.373144,,4,,energy,,0.183957,0.014378,
13.385906,,2,,energy,,0.194508,0.022301,
13.398016,1,3,,udp_reception,         2,,,10
13.400442,,6,,energy,,0.086078,0.004416,
13.864897,,5,,energy,,0.08608,0.007678,
13.873144,,4,,energy,,0.183957,0.014378,
13.885906,,2,,energy,,0.194508,0.022301,
13.900442,,6,,energy,,0.086078,0.004416,
13.924126,,3,,energy,,0.271077,0.011902,
13.926556,,7,,energy,,0.08608,0.004414,
14.299126,,3,,energy,,0.271077,0.011902,
14.301556,,7,,energy,,0.08608,0.004414,
14.364897,,5,,energy,,0.08608,0.007678,
14.373144,,4,,energy,,0.183957,0.014378,
14.385906,,2,,energy,,0.194508,0.022301,
14.400442,,6,,energy,,0.086078,0.004416,
14.424126,,3,,energy,,0.271077,0.011902,
14.426556,,7,,energy,,0.08608,0.004414,
14.489897,,5,,energy,,0.08608,0.007678,
14.498144,,4,,energy,,0.183957,0.014378,
14.510906,,2,,energy,,0.194508,0.022301,
14.525442,,6,,energy,,0.086078,0.004416,
14.549126,,3,,energy,,0.271077,0.011902,
14.551556,,7,,energy,,0.08608,0.004414,
14.614897,,5,,energy,,0.08608,0.007678,
14.623144,,4,,energy,,0.183957,0.014378,
14.635906,,2,,energy,,0.194508,0.022301,
14.646866,5,5,,dao,,,,
14.650442,,6,,energy,,0.086078,0.004416,
14.676556,,7,,energy,,0.08608,0.004414,
14.751371,,6,,energy,,0.086078,0.004416,
14.751947,,3,,energy,,0.271077,0.011902,
14.752012,,4,,energy,,0.184276,0.016968,
14.752585,,5,,energy,,0.148259,0.007997,
14.760906,,2,,energy,,0.194508,0.022301,
14.761406,5,5,23,mac,,,,53
14.775442,,6,,energy,,0.086078,0.004416,
14.799126,,3,,energy,,0.271077,0.011902,
14.801556,,7,,energy,,0.08608,0.004414,
14.885906,,2,,energy,,0.194508,0.022301,
14.900442,,6,,energy,,0.086078,0.004416,
14.901194,,5,,energy,,0.148259,0.012353,
14.901194,,3,,energy,,0.271077,0.011902,
14.902185,,4,,energy,,0.234491,0.016968,
14.926556,,7,,energy,,0.08608,0.004414,
14.927645,,2,,energy,,0.194508,0.022301,
14.927713,,3,,energy,,0.271397,0.014492,
14.937102,4,4,26,mac,,,,53
14.989897,,5,,energy,,0.148259,0.012353,
14.998144,,4,,energy,,0.254224,0.017288,
15.008941,3,3,,udp_sending,         3,,,10
15.010906,,2,,energy,,0.194508,0.022301,
15.025442,,6,,energy,,0.086078,0.004416,
15.049126,,3,,energy,,0.271397,0.014492,
15.051556,,7,,energy,,0.08608,0.004414,
15.114897,,5,,energy,,0.148259,0.012353,
15.123144,,4,,energy,,0.254224,0.017288,
15.135906,,2,,energy,,0.194508,0.022301,
15.150442,,6,,energy,,0.086078,0.004416,
15.174126,,3,,energy,,0.271397,0.014492,
15.176556,,7,,energy,,0.08608,0.004414,
15.207689,3,3,,dio,,,,
15.239897,,5,,energy,,0.148259,0.012353,
15.275442,,6,,energy,,0.086078,0.004416,
15.298567,,4,,energy,,0.254224,0.020551,
15.298567,,2,,energy,,0.194508,0.025563,
15.301157,,7,,energy,,0.08608,0.004414,
15.301381,,3,,energy,,0.319889,0.014492,
15.301556,,7,,energy,,0.08608,0.004414,
15.344024,2,1,,parent,,,,
15.345551,2,1,,neighbor,,,,
15.347078,2,3,,neighbor,,,,
15.358509,6,0,,parent,,,,
15.364897,,5,,energy,,0.148259,0.012353,
15.367386,,3,,energy,,0.369278,0.014492,
15.373144,,4,,energy,,0.254224,0.020551,
15.385906,,2,,energy,,0.194508,0.025563,
15.400442,,6,,energy,,0.086078,0.004416,
15.424126,,3,,energy,,0.369278,0.014492,
15.426556,,7,,energy,,0.08608,0.004414,
15.456262,4,3,,parent,,,,
15.457789,4,3,,neighbor,,,,
15.459316,4,5,,neighbor,,,,
15.481834,2,2,,dio,,,,
15.489897,,5,,energy,,0.148259,0.012353,
15.498144,,4,,energy,,0.254224,0.020551,
15.50962,7,0,,parent,,,,
